compare,basehomo,similarity,baseline
试,摇,0.9961324,1
试,围,0.9986217,1
试,证,0.9973175,1
试,务,0.99835634,1
试,伦,0.997689,1
试,久,0.9977395,1
试,舞,0.99789375,1
试,进,0.99707824,1
试,嘿,0.99603915,1
试,代,0.9949695,1
试,算,0.9952029,1
试,惜,0.9919648,1
试,万,0.99717605,1
试,思,0.99711514,1
试,豆,0.9978061,1
试,断,0.9982934,1
试,落,0.99699247,1
试,并,0.99894917,1
试,炎,0.9980869,1
试,山,0.9970156,1
试,父,0.99799526,1
试,况,0.99666566,1
试,送,0.9956678,1
试,军,0.99701136,1
试,够,0.99717104,1
试,咖,0.99689406,1
试,附,0.99650884,1
试,试,0.99693805,1
试,雷,0.99737,1
试,答,0.9970596,1
是,试,0.99693805,0
世,脑,0.99396795,1
世,术,0.9941842,1
世,印,0.9963277,1
世,良,0.99766225,1
世,似,0.98914,1
世,河,0.99606353,1
世,治,0.997666,1
世,楼,0.99502915,1
世,香,0.9915489,1
世,将,0.9954529,1
世,保,0.9968258,1
世,简,0.9969883,1
世,适,0.99796784,1
世,男,0.99642575,1
世,兵,0.9964509,1
世,俊,0.9975175,1
世,刮,0.9950263,1
世,标,0.99683297,1
世,阳,0.99786884,1
世,弹,0.99789,1
世,装,0.99551857,1
世,望,0.997439,1
世,卖,0.99715716,1
世,包,0.9982407,1
世,戏,0.9979169,1
世,背,0.99841547,1
世,低,0.9949625,1
世,速,0.99601394,1
世,奇,0.9962754,1
世,坐,0.9978262,1
世,未,0.99406624,1
世,黑,0.99651945,1
世,礼,0.998366,1
世,乖,0.99455595,1
世,软,0.9966858,1
世,燕,0.9936639,1
世,区,0.997883,1
世,消,0.9962164,1
世,钢,0.9988267,1
世,伙,0.9963704,1
世,工,0.9987839,1
世,世,0.99770814,1
世,界,0.9982473,1
世,泪,0.9966066,1
世,化,0.98280734,1
世,绿,0.9969711,1
世,询,0.99765277,1
世,木,0.9935845,1
世,计,0.9976949,1
世,敬,0.9974115,1
世,吴,0.9960521,1
世,导,0.9989229,1
世,尚,0.9950288,1
世,柔,0.9897505,1
世,称,0.99802566,1
世,秦,0.98911554,1
世,余,0.98941195,1
世,业,0.9969558,1
世,往,0.99484265,1
世,刘,0.99436647,1
世,条,0.99698526,1
世,嵩,0.99881893,1
世,更,0.9964311,1
世,案,0.9975058,1
世,内,0.99844307,1
世,命,0.9943257,1
世,哭,0.99189025,1
世,弄,0.99310255,1
世,利,0.99638206,1
世,选,0.991826,1
世,搞,0.99694675,1
世,照,0.9980842,1
世,祝,0.9978267,1
世,阿,0.9845336,1
世,迪,0.9900091,1
世,俩,0.9944877,1
世,尔,0.99867344,1
世,鸡,0.997329,1
世,梁,0.99651515,1
世,茹,0.99685365,1
世,短,0.996631,1
世,杨,0.994972,1
世,徐,0.99327636,1
世,除,0.9957502,1
世,暑,0.9990233,1
世,体,0.99784505,1
世,排,0.9976444,1
世,泡,0.99447095,1
世,右,0.9983073,1
世,舒,0.99693465,1
世,类,0.9975136,1
世,型,0.99670166,1
世,剧,0.99471533,1
世,郊,0.99755764,1
世,维,0.9963394,1
世,童,0.9922425,1
世,或,0.9978755,1
世,介,0.99102664,1
世,强,0.9979234,1
世,座,0.9935213,1
世,冒,0.99702793,1
世,娃,0.99555624,1
世,武,0.98555535,1
世,闭,0.9980155,1
是,世,0.99770814,0
似,脑,0.99396795,1
似,术,0.9941842,1
似,印,0.9963277,1
似,良,0.99766225,1
似,似,0.98914,1
似,河,0.99606353,1
似,治,0.997666,1
似,楼,0.99502915,1
似,香,0.9915489,1
似,将,0.9954529,1
似,保,0.9968258,1
似,简,0.9969883,1
似,适,0.99796784,1
似,男,0.99642575,1
似,兵,0.9964509,1
似,俊,0.9975175,1
似,刮,0.9950263,1
似,标,0.99683297,1
似,阳,0.99786884,1
似,弹,0.99789,1
似,装,0.99551857,1
似,望,0.997439,1
似,卖,0.99715716,1
似,包,0.9982407,1
似,戏,0.9979169,1
似,背,0.99841547,1
似,低,0.9949625,1
似,速,0.99601394,1
似,奇,0.9962754,1
似,坐,0.9978262,1
似,未,0.99406624,1
似,黑,0.99651945,1
似,礼,0.998366,1
似,乖,0.99455595,1
似,软,0.9966858,1
似,燕,0.9936639,1
似,区,0.997883,1
似,消,0.9962164,1
似,钢,0.9988267,1
似,伙,0.9963704,1
似,工,0.9987839,1
似,世,0.99770814,1
似,界,0.9982473,1
似,泪,0.9966066,1
似,化,0.98280734,1
似,绿,0.9969711,1
似,询,0.99765277,1
似,木,0.9935845,1
似,计,0.9976949,1
似,敬,0.9974115,1
似,吴,0.9960521,1
似,导,0.9989229,1
似,尚,0.9950288,1
似,柔,0.9897505,1
似,称,0.99802566,1
似,秦,0.98911554,1
似,余,0.98941195,1
似,业,0.9969558,1
似,往,0.99484265,1
似,刘,0.99436647,1
似,条,0.99698526,1
似,嵩,0.99881893,1
似,更,0.9964311,1
似,案,0.9975058,1
似,内,0.99844307,1
似,命,0.9943257,1
似,哭,0.99189025,1
似,弄,0.99310255,1
似,利,0.99638206,1
似,选,0.991826,1
似,搞,0.99694675,1
似,照,0.9980842,1
似,祝,0.9978267,1
似,阿,0.9845336,1
似,迪,0.9900091,1
似,俩,0.9944877,1
似,尔,0.99867344,1
似,鸡,0.997329,1
似,梁,0.99651515,1
似,茹,0.99685365,1
似,短,0.996631,1
似,杨,0.994972,1
似,徐,0.99327636,1
似,除,0.9957502,1
似,暑,0.9990233,1
似,体,0.99784505,1
似,排,0.9976444,1
似,泡,0.99447095,1
似,右,0.9983073,1
似,舒,0.99693465,1
似,类,0.9975136,1
似,型,0.99670166,1
似,剧,0.99471533,1
似,郊,0.99755764,1
似,维,0.9963394,1
似,童,0.9922425,1
似,或,0.9978755,1
似,介,0.99102664,1
似,强,0.9979234,1
似,座,0.9935213,1
似,冒,0.99702793,1
似,娃,0.99555624,1
似,武,0.98555535,1
似,闭,0.9980155,1
是,似,0.98914,0
适,脑,0.99396795,1
适,术,0.9941842,1
适,印,0.9963277,1
适,良,0.99766225,1
适,似,0.98914,1
适,河,0.99606353,1
适,治,0.997666,1
适,楼,0.99502915,1
适,香,0.9915489,1
适,将,0.9954529,1
适,保,0.9968258,1
适,简,0.9969883,1
适,适,0.99796784,1
适,男,0.99642575,1
适,兵,0.9964509,1
适,俊,0.9975175,1
适,刮,0.9950263,1
适,标,0.99683297,1
适,阳,0.99786884,1
适,弹,0.99789,1
适,装,0.99551857,1
适,望,0.997439,1
适,卖,0.99715716,1
适,包,0.9982407,1
适,戏,0.9979169,1
适,背,0.99841547,1
适,低,0.9949625,1
适,速,0.99601394,1
适,奇,0.9962754,1
适,坐,0.9978262,1
适,未,0.99406624,1
适,黑,0.99651945,1
适,礼,0.998366,1
适,乖,0.99455595,1
适,软,0.9966858,1
适,燕,0.9936639,1
适,区,0.997883,1
适,消,0.9962164,1
适,钢,0.9988267,1
适,伙,0.9963704,1
适,工,0.9987839,1
适,世,0.99770814,1
适,界,0.9982473,1
适,泪,0.9966066,1
适,化,0.98280734,1
适,绿,0.9969711,1
适,询,0.99765277,1
适,木,0.9935845,1
适,计,0.9976949,1
适,敬,0.9974115,1
适,吴,0.9960521,1
适,导,0.9989229,1
适,尚,0.9950288,1
适,柔,0.9897505,1
适,称,0.99802566,1
适,秦,0.98911554,1
适,余,0.98941195,1
适,业,0.9969558,1
适,往,0.99484265,1
适,刘,0.99436647,1
适,条,0.99698526,1
适,嵩,0.99881893,1
适,更,0.9964311,1
适,案,0.9975058,1
适,内,0.99844307,1
适,命,0.9943257,1
适,哭,0.99189025,1
适,弄,0.99310255,1
适,利,0.99638206,1
适,选,0.991826,1
适,搞,0.99694675,1
适,照,0.9980842,1
适,祝,0.9978267,1
适,阿,0.9845336,1
适,迪,0.9900091,1
适,俩,0.9944877,1
适,尔,0.99867344,1
适,鸡,0.997329,1
适,梁,0.99651515,1
适,茹,0.99685365,1
适,短,0.996631,1
适,杨,0.994972,1
适,徐,0.99327636,1
适,除,0.9957502,1
适,暑,0.9990233,1
适,体,0.99784505,1
适,排,0.9976444,1
适,泡,0.99447095,1
适,右,0.9983073,1
适,舒,0.99693465,1
适,类,0.9975136,1
适,型,0.99670166,1
适,剧,0.99471533,1
适,郊,0.99755764,1
适,维,0.9963394,1
适,童,0.9922425,1
适,或,0.9978755,1
适,介,0.99102664,1
适,强,0.9979234,1
适,座,0.9935213,1
适,冒,0.99702793,1
适,娃,0.99555624,1
适,武,0.98555535,1
适,闭,0.9980155,1
是,适,0.99796784,0
是,是,0.9997314,1
事,是,0.9997314,0
视,发,0.99965626,1
视,生,0.99959713,1
视,视,0.999703,1
事,视,0.999703,0
室,欢,0.99960625,1
室,热,0.99964195,1
室,室,0.9994559,1
室,分,0.99963313,1
室,名,0.9996065,1
事,室,0.9994559,0
氏,氏,0.9993443,1
氏,演,0.99916905,1
氏,经,0.9996505,1
氏,王,0.9993909,1
氏,风,0.999441,1
氏,告,0.9994334,1
氏,长,0.9995011,1
氏,呀,0.999514,1
氏,意,0.99972713,1
氏,节,0.9996543,1
事,氏,0.9993443,0
市,色,0.9991723,1
市,种,0.9995738,1
市,习,0.9994184,1
市,准,0.9995648,1
市,头,0.99907935,1
市,始,0.9988814,1
市,司,0.9990557,1
市,外,0.99940896,1
市,联,0.9992116,1
市,市,0.99950993,1
市,嗯,0.99901295,1
市,加,0.9994304,1
市,英,0.99904394,1
市,注,0.9995977,1
市,醒,0.99911845,1
市,某,0.9993224,1
事,市,0.99950993,0
式,法,0.99946225,1
式,德,0.9986117,1
式,团,0.99888057,1
式,典,0.9989723,1
式,常,0.9990602,1
式,贝,0.9987053,1
式,转,0.9982953,1
式,闻,0.9990794,1
式,亮,0.9983695,1
式,练,0.9993514,1
式,传,0.9990828,1
式,远,0.99903256,1
式,花,0.99861836,1
式,游,0.9989208,1
式,但,0.99911004,1
式,费,0.99842775,1
式,喝,0.9987532,1
式,受,0.9988475,1
式,夜,0.99887013,1
式,红,0.9986133,1
式,星,0.99919236,1
式,件,0.99900603,1
式,已,0.99916184,1
式,吉,0.9987084,1
式,书,0.99478924,1
式,挺,0.99829733,1
式,语,0.99876034,1
式,身,0.9989281,1
式,降,0.99919766,1
式,式,0.9993873,1
式,朋,0.99873596,1
式,永,0.9987002,1
式,写,0.99901855,1
式,师,0.9992812,1
式,忙,0.9977873,1
事,式,0.9993873,0
试,段,0.99640423,1
试,各,0.9992497,1
试,鱼,0.99766695,1
试,停,0.99769694,1
试,冻,0.99798006,1
试,满,0.9971539,1
试,跳,0.9981452,1
试,器,0.99311495,1
试,赵,0.9929766,1
试,宿,0.9965645,1
试,管,0.9974541,1
试,雄,0.9949877,1
试,伴,0.99821085,1
试,湖,0.99701023,1
试,量,0.9980248,1
试,院,0.9949057,1
试,欣,0.99674565,1
试,确,0.9982687,1
试,指,0.9984837,1
试,伟,0.9950697,1
试,群,0.99730825,1
试,物,0.99888766,1
试,猪,0.9978899,1
试,故,0.996913,1
试,谱,0.99870443,1
试,倒,0.997523,1
试,立,0.9987334,1
试,从,0.9970358,1
试,怕,0.997411,1
试,浪,0.9962877,1
试,兴,0.99722517,1
试,蛋,0.9960864,1
试,摇,0.99603385,1
试,围,0.9984879,1
试,证,0.99734294,1
